Who,Last Active Year,effect
PETER_FORSBERG,20102011,0.935944636825021
PATRICK_ROY,20022003,0.629746819794794
BRAD_MARCHAND,20132014,0.537452690982132
MARTIN_GELINAS,20072008,0.537390509651844
GABRIEL_LANDESKOG,20132014,0.497897670475665
ERIC_FEHR,20132014,0.471863757929659
MATT_MOULSON,20132014,0.459866779020039
JOE_THORNTON,20132014,0.454889442421996
SIDNEY_CROSBY,20132014,0.438479810496065
LOGAN_COUTURE,20132014,0.420052946461289
RYAN_GETZLAF,20132014,0.418281512073546
PAVEL_DATSYUK,20132014,0.409851842033798
MARIAN_HOSSA,20132014,0.409557981669362
ALEXANDER_RADULOV,20112012,0.399496026574239
JONATHAN_TOEWS,20132014,0.395411733467243
JORDAN_EBERLE,20132014,0.379442525196432
ALEX_OVECHKIN,20132014,0.37622400078056
ALEXANDER_SEMIN,20132014,0.371774169790017
PATRIC_HORNQVIST,20132014,0.371585958803835
DANIEL_ALFREDSSON,20132014,0.365204066838068
LADISLAV_NAGY,20072008,0.354715815737583
P.K._SUBBAN,20132014,0.350258906838479
CHRIS_SIMON,20072008,0.349024457144537
DAVID_PERRON,20132014,0.344461265528992
TEEMU_SELANNE,20132014,0.334495603056491
STEVE_DOWNIE,20132014,0.334057025539596
PATRIK_ELIAS,20132014,0.332256477665417
LOUI_ERIKSSON,20132014,0.324947892872034
MIKKO_KOIVU,20132014,0.321715710200313
MARIAN_GABORIK,20132014,0.321336478406201
TYLER_KENNEDY,20132014,0.316189437200084
RADIM_VRBATA,20132014,0.306424631504076
FRANS_NIELSEN,20132014,0.305654344962905
MARTIN_HAVLAT,20122013,0.303659341580014
JASON_ARNOTT,20112012,0.29699894025384
ZACH_PARISE,20132014,0.294743462871093
NATHAN_HORTON,20132014,0.294668797575249
CODY_FRANSON,20132014,0.293159447101708
JAROMIR_JAGR,20132014,0.291087570731953
VINCENT_LECAVALIER,20132014,0.290918949724217
HENRIK_SEDIN,20132014,0.290132647079841
JOHAN_FRANZEN,20132014,0.288482494733753
MAREK_MALIK,20082009,0.288370542982511
ANDREI_MARKOV,20132014,0.278128038606675
MICHAEL_GRABNER,20132014,0.275521212423013
LUBOMIR_VISNOVSKY,20132014,0.274685095157577
DANIEL_SEDIN,20132014,0.273949465771408
JOE_PAVELSKI,20132014,0.271202491538252
DUSTIN_PENNER,20132014,0.270900051472995
BRYAN_BICKELL,20132014,0.270117299994419
DOMINIK_HASEK,20072008,0.268839673479978
JANNIK_HANSEN,20132014,0.266330403317178
JUSTIN_WILLIAMS,20132014,0.263773320672147
DEREK_MACKENZIE,20132014,0.253553302706923
MIKE_RICHARDS,20132014,0.25191885814027
STEVEN_STAMKOS,20132014,0.251138857928747
NICKLAS_LIDSTROM,20112012,0.24744659111412
ROBERT_LANG,20092010,0.246288078770947
JOSH_BAILEY,20132014,0.245686571475568
JOEL_WARD,20132014,0.245505102185449
KYLE_WELLWOOD,20122013,0.244746447838164
ALEX_BURROWS,20132014,0.243428796163445
CHRIS_KUNITZ,20132014,0.243265153091234
PIERRE-MARC_BOUCHARD,20132014,0.24166230679801
TEDDY_PURCELL,20132014,0.240357717594244
KIMMO_TIMONEN,20132014,0.237478654997658
CHRIS_PRONGER,20112012,0.23291893768884
DAYMOND_LANGKOW,20112012,0.227588955254172
JAKUB_VORACEK,20132014,0.225670801623479
STEPHEN_WEISS,20132014,0.22437552206888
TOBIAS_ENSTROM,20132014,0.223422410004195
BOBBY_RYAN,20132014,0.223342726702783
BRENDAN_MORRISON,20112012,0.222474649033826
RICK_NASH,20132014,0.217652303155274
HENRIK_ZETTERBERG,20132014,0.217275501068788
ALEX_TANGUAY,20132014,0.215370582566904
ANZE_KOPITAR,20132014,0.212857036776175
ERIK_COLE,20132014,0.212615021981794
MATT_CARLE,20132014,0.211206660393427
T.J._OSHIE,20132014,0.211010971696936
ALEXEI_PONIKAROVSKY,20122013,0.210829937961833
DAVID_BACKES,20132014,0.210798737147619
DAVID_KREJCI,20132014,0.210515255716829
ALEX_FROLOV,20102011,0.208016445253754
EVGENI_MALKIN,20132014,0.207945692368148
PETER_SCHAEFER,20102011,0.20696587889675
JEFF_CARTER,20132014,0.206658339897253
DUSTIN_BROWN,20132014,0.206095775813633
BENOIT_POULIOT,20132014,0.205856520910981
SERGEI_KOSTITSYN,20122013,0.204191841986294
BRIAN_RAFALSKI,20102011,0.202452196487205
MATT_CULLEN,20132014,0.200437965608512
JIRI_HUDLER,20132014,0.196756682153578
DAN_BOYLE,20132014,0.195537909263157
ILYA_KOVALCHUK,20122013,0.194869905191957
KARI_LEHTONEN,20132014,0.190526991823899
PAUL_STASTNY,20132014,0.188917107165465
JAMES_REIMER,20132014,0.188324409408451
STEVEN_REINPRECHT,20102011,0.187928564738149
THOMAS_VANEK,20132014,0.186046199905024
TOM_PREISSING,20092010,0.185908779505589
WOJTEK_WOLSKI,20122013,0.183987405729842
SCOTTIE_UPSHALL,20132014,0.183778861742914
BRENDAN_SHANAHAN,20082009,0.180983807892451
JOCHEN_HECHT,20122013,0.18001744118535
TRAVIS_ZAJAC,20132014,0.178592939904869
CLAUDE_GIROUX,20132014,0.178321565678576
MIKAEL_SAMUELSSON,20132014,0.177029266359399
MARK_STREIT,20132014,0.175662230769907
KRIS_VERSTEEG,20132014,0.172036437236114
MARC_SAVARD,20102011,0.169900378000138
MICHAEL_RYDER,20132014,0.16842472444895
MARCO_STURM,20112012,0.168066141211343
SCOTT_HARTNELL,20132014,0.16766057802375
MILAN_HEJDUK,20122013,0.16671586552195
KEITH_TKACHUK,20092010,0.166406915539449
PETR_CAJANEK,20062007,0.166202603114169
SHANE_DOAN,20132014,0.165480251951631
PATRICK_SHARP,20132014,0.165091892214815
MIKHAIL_GRABOVSKI,20132014,0.16483044063202
SHEA_WEBER,20132014,0.164569631903043
DEREK_ROY,20132014,0.164280785934463
KEITH_YANDLE,20132014,0.164134201599031
ALEX_KOVALEV,20122013,0.163969759669186
ZDENO_CHARA,20132014,0.163687333080097
VIKTOR_KOZLOV,20082009,0.163475747273323
RYAN_SMYTH,20132014,0.161501077186237
JAROME_IGINLA,20132014,0.159232788375657
PETER_BONDRA,20062007,0.157276574124524
ALEX_STEEN,20132014,0.157115488481565
MIKE_MOTTAU,20132014,0.157114358059071
JONATHAN_BERNIER,20132014,0.155020358832449
TRENT_HUNTER,20112012,0.153735962428194
ANDREW_LADD,20132014,0.153703677464398
BRAD_BOYES,20132014,0.153453693689721
JERE_LEHTINEN,20092010,0.152603666757493
NICKLAS_BACKSTROM,20132014,0.151946485776704
BRENDEN_MORROW,20132014,0.150274964359063
CHRISTIAN_BACKMAN,20082009,0.149340840832258
BOBBY_HOLIK,20082009,0.14907640660701
JOZEF_STUMPEL,20072008,0.149057199392968
JASON_BLAKE,20112012,0.14426686189312
ANDREW_MACDONALD,20132014,0.143963968692521
CRAIG_ANDERSON,20132014,0.143793368741235
MIKE_RIBEIRO,20132014,0.143779431219024
COLIN_WILSON,20132014,0.143142032940708
MATT_DUCHENE,20132014,0.141803719513727
JASON_POMINVILLE,20132014,0.140088067028775
EVANDER_KANE,20132014,0.140020303219783
MATS_SUNDIN,20082009,0.139771149210541
ALES_HEMSKY,20132014,0.139395343029706
DANY_HEATLEY,20132014,0.139013511688952
MANNY_LEGACE,20092010,0.138407515988677
BRYAN_LITTLE,20132014,0.136609894235433
PETR_SYKORA,20112012,0.13654196524891
FREDRIK_MODIN,20102011,0.13618855548994
MIIKKA_KIPRUSOFF,20122013,0.134317269683765
RYAN_KESLER,20132014,0.133410495231623
STEVE_SULLIVAN,20122013,0.131315738243914
MIKE_DUNHAM,20062007,0.130177266425242
VYACHESLAV_KOZLOV,20092010,0.129587465906682
SEAN_AVERY,20112012,0.128605893215043
JASON_SPEZZA,20132014,0.127986777251492
OLLI_JOKINEN,20132014,0.12735093031419
R.J._UMBERGER,20132014,0.126286397068005
BRIAN_ROLSTON,20112012,0.125851137284041
DOUG_WEIGHT,20102011,0.125654956346442
SIMON_GAGNE,20122013,0.125459555776838
JOHNNY_ODUYA,20132014,0.124487617121121
BRIAN_CAMPBELL,20132014,0.124049715838717
FERNANDO_PISANI,20102011,0.123490856951603
ROMAN_HAMRLIK,20122013,0.122098197221309
MIKE_KNUBLE,20122013,0.121092699846989
PATRIK_BERGLUND,20132014,0.120915387467184
TOMAS_PLEKANEC,20132014,0.11996180713115
CAM_WARD,20132014,0.116628431084403
HENRIK_LUNDQVIST,20132014,0.116395364410148
MILAN_LUCIC,20132014,0.116278393970441
PATRICE_BERGERON,20132014,0.114308313793316
MICHAL_ROZSIVAL,20132014,0.112875061806754
MARTIN_ERAT,20132014,0.112520822114146
PAVOL_DEMITRA,20092010,0.111192129222745
CHRISTIAN_EHRHOFF,20132014,0.109542751153014
NIK_ANTROPOV,20122013,0.108842618722394
PETER_BUDAJ,20132014,0.108390517291714
JUSSI_JOKINEN,20132014,0.107953831459961
MILAN_MICHALEK,20132014,0.106058125669657
ED_BELFOUR,20062007,0.105634916416105
ALEX_GOLIGOSKI,20132014,0.105610851929234
IAN_WHITE,20122013,0.105088726424995
DAVID_LEGWAND,20132014,0.104745914059785
DAVID_AEBISCHER,20072008,0.104725431208537
JONATHAN_QUICK,20132014,0.104396730238487
CHRIS_NEIL,20132014,0.103992386700783
SERGEI_SAMSONOV,20102011,0.102484488610151
LEE_STEMPNIAK,20132014,0.102299497167681
PHIL_KESSEL,20132014,0.102196700295674
BRYAN_MCCABE,20102011,0.101488933182036
MARTIN_RUCINSKY,20072008,0.0998550193690725
TYLER_SEGUIN,20132014,0.097153203963867
KEITH_CARNEY,20072008,0.0947383267566688
ERIC_STAAL,20132014,0.0940223737118546
JOE_CORVO,20132014,0.0929874658753225
DUNCAN_KEITH,20132014,0.0918856635748451
RAFFI_TORRES,20122013,0.0908750614050412
RAY_WHITNEY,20132014,0.0905498284474067
BRANDON_SUTTER,20132014,0.089763779817313
ANDREW_COGLIANO,20132014,0.087990618676311
RICK_DIPIETRO,20122013,0.0879392589010787
DION_PHANEUF,20132014,0.0865834959766975
DANIEL_BRIERE,20132014,0.0856954639871104
OWEN_NOLAN,20092010,0.0840550939746553
WAYNE_SIMMONDS,20132014,0.0812307714284853
SERGEI_BOBROVSKY,20132014,0.081047393536626
RYAN_SUTER,20132014,0.080195485927445
MARC-EDOUARD_VLASIC,20132014,0.0796657740139879
CORY_STILLMAN,20102011,0.0785051695728443
BRANDON_DUBINSKY,20132014,0.0779547619216832
RYAN_MILLER,20132014,0.0774830113148645
JARRET_STOLL,20132014,0.0773265209996851
JOFFREY_LUPUL,20132014,0.0751417209845601
ROBERTO_LUONGO,20132014,0.0748976337765594
EVGENI_NABOKOV,20132014,0.0748761268750636
KRISTIAN_HUSELIUS,20112012,0.0742719855401717
PAVEL_KUBINA,20112012,0.0719489505888636
RUSLAN_SALEI,20102011,0.0709899243952218
BRIAN_GIONTA,20132014,0.0692939188762229
MATHIEU_SCHNEIDER,20092010,0.0686729353347701
CLARKE_MACARTHUR,20132014,0.0670867215194744
VALTTERI_FILPPULA,20132014,0.0664281958529809
ANDREW_BRUNETTE,20112012,0.0642937259657665
TOMAS_VOKOUN,20122013,0.0637533175166006
MICHAEL_NYLANDER,20082009,0.0625724540651487
JEAN-SEBASTIEN_GIGUERE,20132014,0.0611768491237354
MARTIN_GERBER,20102011,0.0610732216254224
RYAN_MCDONAGH,20132014,0.0591691413370616
JOHN_GRAHAME,20072008,0.0588931904696853
SERGEI_FEDOROV,20082009,0.0556301048017689
SERGEI_ZUBOV,20082009,0.0536690207941299
DREW_STAFFORD,20132014,0.0517559814002501
ANDREI_KOSTITSYN,20112012,0.051246944102952
PASCAL_DUPUIS,20132014,0.0505679279968796
CURTIS_JOSEPH,20082009,0.0492873508792368
JAROSLAV_SPACEK,20112012,0.0481577154704473
WILLIE_MITCHELL,20132014,0.0477832603446088
CURTIS_GLENCROSS,20132014,0.0389091351021008
STEPHANE_ROBIDAS,20132014,0.0386349054026133
ANTON_VOLCHENKOV,20132014,0.0352542652931055
BILL_GUERIN,20092010,0.0346144432365226
JAMES_WISNIEWSKI,20132014,0.0330716151800182
JONATHAN_CHEECHOO,20092010,0.02956907881294
RADEK_DVORAK,20132014,0.0285822089372073
JOHN-MICHAEL_LILES,20132014,0.0284825820766648
JONI_PITKANEN,20122013,0.0281961337319185
TIM_THOMAS,20132014,0.0279556179027404
NIKOLAI_ZHERDEV,20102011,0.027353008513861
MIROSLAV_SATAN,20092010,0.0272414889928875
SAMI_SALO,20132014,0.0261281143843362
CRAIG_CONROY,20102011,0.0259651870539797
NIKOLAI_KHABIBULIN,20132014,0.0257526293887254
TOMAS_KABERLE,20122013,0.0252126418931822
NICK_FOLIGNO,20132014,0.022875521922266
MARTIN_BRODEUR,20132014,0.0212360967835434
TOMAS_HOLMSTROM,20112012,0.0206757450800943
NATHAN_GERBE,20132014,0.0188608203452431
JORDAN_STAAL,20132014,0.0173000631951953
ANTOINE_VERMETTE,20132014,0.015969086087816
DAINIUS_ZUBRUS,20132014,0.0156431742963394
MAREK_SVATOS,20102011,0.014370444415409
DEAN_MCAMMOND,20092010,0.013771255439856
JAMIE_BENN,20132014,0.012101281067244
MARKUS_NASLUND,20082009,0.0120830792556968
JOHAN_HEDBERG,20122013,0.0106057452557884
MATT_COOKE,20132014,0.0105829769019106
BRENT_SEABROOK,20132014,0.00992851172499683
CAM_ATKINSON,20132014,0.00917935825103012
PHILIPPE_BOUCHER,20082009,0.00915893349599081
NAZEM_KADRI,20132014,0.00893505573721732
ANTTI_NIEMI,20132014,0.00754440007455922
JEAN-PIERRE_DUMONT,20102011,0.00637451465132292
ZIGMUND_PALFFY,20052006,0.0063258533047783
MARC-ANDRE_FLEURY,20132014,0.00507104633370644
DAVE_BOLLAND,20132014,0.00428087853153812
COREY_PERRY,20132014,0.00372805851045753
MARK_FAYNE,20132014,0.00337643776371135
CHRIS_KELLY,20132014,0.00313247126513092
SAKU_KOIVU,20132014,0.00283086005510847
DAVID_VYBORNY,20072008,0.0017015917068789
TONY_AMONTE,20062007,0.00136102407990456
DAN_HAMHUIS,20132014,0.00117714146764886
ANSON_CARTER,20062007,0
JASON_CHIMERA,20132014,0
MIKE_COMRIE,20102011,0
ULF_DAHLEN,20022003,0
ROB_DIMAIO,20052006,0
JIRI_DOPITA,20022003,0
SCOTT_FERGUSON,20052006,0
JOSH_GREEN,20112012,0
KARI_HAAKANA,20022003,0
DERIAN_HATCHER,20072008,0
NIKO_KAPANEN,20072008,0
GEORGES_LARAQUE,20092010,0
MANNY_MALHOTRA,20132014,0
TODD_MARCHANT,20102011,0
JUSSI_MARKKANEN,20062007,0
MIKE_MODANO,20102011,0
ETHAN_MOREAU,20112012,0
KIRK_MULLER,20022003,0
JANNE_NIINIMAA,20062007,0
SCOTT_PELLERIN,20032004,0
TOMMY_SALO,20032004,0
JASON_SMITH,20082009,0
STEVE_STAIOS,20112012,0
BRIAN_SWANSON,20022003,0
DARRYL_SYDOR,20092010,0
RON_TUGNUTT,20032004,0
MARTY_TURCO,20112012,0
PIERRE_TURGEON,20062007,0
MIKE_YORK,20072008,0
SCOTT_YOUNG,20052006,0
ARRON_ASHAM,20132014,0
ADRIAN_AUCOIN,20122013,0
ERIC_CAIRNS,20052006,0
PATRICK_DESROCHERS,20022003,0
DARCY_HORDICHUK,20122013,0
BRAD_ISBISTER,20072008,0
MIKE_JOHNSON,20072008,0
KENNY_JONSSON,20032004,0
CLAUDE_LAPOINTE,20032004,0
CLAUDE_LEMIEUX,20082009,0
JUSTIN_MAPLETOFT,20032004,0
PAUL_MARA,20102011,0
DANNY_MARKOV,20062007,0
RADEK_MARTINEK,20132014,0
ANDREI_NAZAROV,20052006,0
TEPPO_NUMMINEN,20082009,0
MARK_PARRISH,20102011,0
DERON_QUINT,20062007,0
BRANKO_RADIVOJEVIC,20072008,0
BRIAN_SAVAGE,20052006,0
DAVE_SCATCHARD,20102011,0
GARTH_SNOW,20052006,0
RADOSLAV_SUCHY,20052006,0
MATTIAS_TIMANDER,20032004,0
OSSI_VAANANEN,20082009,0
STEVE_WEBB,20032004,0
JASON_WIEMER,20052006,0
LANDON_WILSON,20082009,0
ALEXEI_YASHIN,20062007,0
MAGNUS_ARVEDSON,20032004,0
DENNIS_BONVIE,20022003,0
DONALD_BRASHEAR,20092010,0
PAVEL_BRENDL,20052006,0
ROMAN_CECHMANEK,20032004,0
ERIC_DESJARDINS,20052006,0
ROBERT_ESCHE,20062007,0
MIKE_FISHER,20132014,0
MICHAL_HANDZUS,20132014,0
JODY_HULL,20022003,0
KIM_JOHNSSON,20092010,0
KIRBY_LAW,20032004,0
JOHN_LECLAIR,20062007,0
CURTIS_LESCHYSHYN,20032004,0
DANIEL_MCGILLIS,20052006,0
CHRIS_PHILLIPS,20132014,0
KEITH_PRIMEAU,20052006,0
MARTIN_PRUSEK,20052006,0
PAUL_RANHEIM,20022003,0
MARK_RECCHI,20102011,0
WADE_REDDEN,20132014,0
JEREMY_ROENICK,20082009,0
ANDRE_SAVAGE,20022003,0
PETR_SCHASTLIVY,20032004,0
CHRIS_THERIEN,20052006,0
TODD_WHITE,20102011,0
PATRICE_BRISEBOIS,20082009,0
JAN_BULIS,20062007,0
DAN_BYLSMA,20032004,0
STANISLAV_CHISTOV,20062007,0
MARC_CHOUINARD,20062007,0
MARIUSZ_CZERKAWSKI,20052006,0
ANDREAS_DACKELL,20032004,0
KARL_DYKHUIS,20032004,0
DOUG_GILMOUR,20022003,0
JEFF_HACKETT,20032004,0
RON_HAINSEY,20132014,0
JOE_JUNEAU,20032004,0
PAUL_KARIYA,20092010,0
CHAD_KILGER,20072008,0
PATRIC_KJELLBERG,20022003,0
JASON_KROG,20082009,0
MIKE_LECLERC,20052006,0
BILL_LINDSAY,20032004,0
ANDY_MCDONALD,20122013,0
RANDY_MCKAY,20022003,0
CHRIS_O'SULLIVAN,20022003,0
YANIC_PERREAULT,20072008,0
OLEG_PETROV,20022003,0
STEPHANE_QUINTAL,20032004,0
CRAIG_RIVET,20102011,0
STEVE_RUCCHIN,20062007,0
KURT_SAUER,20092010,0
KEVIN_SAWYER,20022003,0
VITALY_VISHNEVSKI,20072008,0
RICHARD_ZEDNIK,20082009,0
KEVYN_ADAMS,20072008,0
BATES_BATTAGLIA,20062007,0
JESSE_BOULERICE,20072008,0
ROD_BRIND'AMOUR,20092010,0
SERGEI_BRYLIN,20072008,0
KEN_DANEYKO,20022003,0
JEFF_DANIELS,20022003,0
MIKE_DANTON,20032004,0
RON_FRANCIS,20032004,0
JEFF_FRIESEN,20062007,0
SCOTT_GOMEZ,20132014,0
BRET_HEDICAN,20082009,0
SEAN_HILL,20072008,0
ARTURS_IRBE,20032004,0
DARREN_LANGDON,20052006,0
JAMIE_LANGENBRUNNER,20122013,0
JOHN_MADDEN,20112012,0
JIM_MCKENZIE,20032004,0
SCOTT_NIEDERMAYER,20092010,0
JOE_NIEUWENDYK,20062007,0
JEFF_O'NEILL,20062007,0
COREY_SCHWAB,20032004,0
SCOTT_STEVENS,20032004,0
TURNER_STEVENSON,20052006,0
JAROSLAV_SVOBODA,20052006,0
DAVID_TANABE,20072008,0
OLEG_TVERDOVSKY,20062007,0
KEVIN_WEEKES,20082009,0
GLEN_WESLEY,20072008,0
COLIN_WHITE,20112012,0
JASON_ALLISON,20052006,0
DEREK_ARMSTRONG,20092010,0
LUBOS_BARTECKO,20022003,0
JAROSLAV_BEDNAR,20032004,0
ERIC_BELANGER,20122013,0
BRAD_CHARTRAND,20032004,0
JEFF_COWAN,20072008,0
ADAM_DEADMARSH,20022003,0
MIKKO_ELORANTA,20022003,0
MILAN_HNILICKA,20032004,0
TONY_HRKAC,20022003,0
CRAIG_JOHNSON,20032004,0
FRANTISEK_KABERLE,20082009,0
TOMI_KALLIO,20022003,0
IAN_LAPERRIERE,20092010,0
FRANCIS_LESSARD,20102011,0
CHRIS_MCALPINE,20022003,0
SHAWN_MCEACHERN,20052006,0
JAROSLAV_MODRY,20072008,0
MATTIAS_NORSTROM,20072008,0
PASI_NURMINEN,20032004,0
FELIX_POTVIN,20032004,0
ERIK_RASMUSSEN,20062007,0
PASCAL_RHEAUME,20052006,0
RICHARD_SMEHLIK,20022003,0
BRYAN_SMOLINSKI,20072008,0
DAN_SNYDER,20022003,0
PATRIK_STEFAN,20062007,0
JAMIE_STORR,20032004,0
CHRIS_TAMER,20032004,0
DANIEL_TJARNQVIST,20082009,0
YANNICK_TREMBLAY,20062007,0
JAMIE_ALLISON,20052006,0
